range,method,target coverage,coverage,width (kWh),interval score
80%,CQR,80%,0.8497453310696095,3.6855130465333876,4.928885220998394
80%,Fixed range,80%,0.8047538200339559,3.9259119103388356,7.852597730489589
80%,Quantile regression,80%,0.7521222410865874,3.287293466702141,4.9244150311803265
90%,CQR,90%,0.9264289756649688,4.925802848572708,6.281844149937723
90%,Fixed range,90%,0.9018109790605546,6.364220095905586,10.64390662328019
90%,Quantile regression,90%,0.8539898132427843,4.334342292642702,6.310238178947624
