method,day type,coverage,width (kWh)
Fixed range,Cloudiest third,0.8249128919860628,6.242015171671582
Fixed range,Middle,0.951651893634166,6.430383058460684
Fixed range,Sunniest third,0.9248908296943231,6.415034957468695
CQR,Cloudiest third,0.8954703832752613,6.817395778554514
CQR,Middle,0.9443996776792909,3.748527451872569
CQR,Sunniest third,0.9379912663755459,4.305235236071189
