subset,model,MAE (kW),RMSE (kW),Skill vs smart persistence
all days,Smart persistence,1.6734982305777537,3.607110567333714,0.0
all days,Numbers-only (Gradient Boosting),1.5575900579117636,3.160834338228132,0.12372125022922653
all days,Sky CNN (images + numbers),1.570009469985962,2.920328378677368,0.1903967665632157
Clear days,Smart persistence,0.2680434885599962,0.35623049766852144,0.0
Clear days,Numbers-only (Gradient Boosting),0.18247283184183744,0.2481740449526482,0.3033329639744142
Clear days,Sky CNN (images + numbers),0.28053033351898193,0.36714211106300354,-0.03063076706204848
Cloudy days,Smart persistence,3.0768458440467588,5.0868729354276505,0.0
Cloudy days,Numbers-only (Gradient Boosting),2.930645638965093,4.461532314021852,0.12293222758732547
Cloudy days,Sky CNN (images + numbers),2.857555389404297,4.112087249755859,0.19162768522934248
